"HICP_PROD","Type and product group","HICP_REGIO","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"FOODPR","Processed food","U2","Euro area","M","Monthly","2021-01","2021M1",1.3,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2021-02","2021M2",1.3,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2021-03","2021M3",1,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2022-01","2022M1",3,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2022-02","2022M2",3.5,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2022-03","2022M3",4.1,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2022-04","2022M4",5.4,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2023-01","2023M1",15,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2023-02","2023M2",15.4,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2023-03","2023M3",15.7,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2023-04","2023M4",14.7,"E","Estimated"
"FOODPR","Processed food","U2","Euro area","M","Monthly","2019-07","2019M7",2,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2019-08","2019M8",1.9,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2019-09","2019M9",1.8,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2019-10","2019M10",1.8,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2020-08","2020M8",1.5,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2020-09","2020M9",1.4,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2020-10","2020M10",1.3,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2020-11","2020M11",1.2,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2021-09","2021M9",1.9,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2021-10","2021M10",2.1,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2021-11","2021M11",2.3,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2021-12","2021M12",2.8,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2022-09","2022M9",11.5,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2022-10","2022M10",12.4,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2022-11","2022M11",13.6,,
"FOODPR","Processed food","U2","Euro area","M","Monthly","2022-12","2022M12",14.3,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2019-03","2019M3",0.1,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2019-04","2019M4",0.2,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2019-05","2019M5",0.3,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2019-06","2019M6",0.3,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2020-04","2020M4",0.3,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2020-05","2020M5",0.2,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2020-06","2020M6",0.2,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2020-07","2020M7",1.6,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2021-04","2021M4",0.4,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2021-05","2021M5",0.7,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2021-06","2021M6",1.2,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2021-07","2021M7",0.7,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2021-08","2021M8",2.6,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2022-05","2022M5",4.2,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2022-06","2022M6",4.3,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2022-07","2022M7",4.5,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2022-08","2022M8",5.1,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2019-01","2019M1",0.3,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2019-02","2019M2",0.4,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2019-11","2019M11",0.4,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2019-12","2019M12",0.5,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2020-01","2020M1",0.3,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2020-02","2020M2",0.5,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2020-03","2020M3",0.5,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2020-12","2020M12",-0.5,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2021-01","2021M1",1.5,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2021-02","2021M2",1,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2021-03","2021M3",0.3,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2022-01","2022M1",2.1,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2022-02","2022M2",3.1,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2022-03","2022M3",3.4,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2022-04","2022M4",3.8,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2023-01","2023M1",6.7,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2023-02","2023M2",6.8,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2023-03","2023M3",6.6,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2023-04","2023M4",6.2,"E","Estimated"
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2019-07","2019M7",0.4,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2019-08","2019M8",0.3,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2019-09","2019M9",0.2,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2019-10","2019M10",0.3,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2020-08","2020M8",-0.1,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2020-09","2020M9",-0.3,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2020-10","2020M10",-0.1,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2020-11","2020M11",-0.3,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2021-09","2021M9",2.1,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2021-10","2021M10",2,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2021-11","2021M11",2.4,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2021-12","2021M12",2.9,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2022-09","2022M9",5.5,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2022-10","2022M10",6.1,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2022-11","2022M11",6.1,,
"IGXE00","Non-energy industrial goods","U2","Euro area","M","Monthly","2022-12","2022M12",6.4,,
"IGXE00","Non-energy industrial goods","U2","Euro area","A","Annual","2019","2019",0.3,,
"IGXE00","Non-energy industrial goods","U2","Euro area","A","Annual","2020","2020",0.2,,
"IGXE00","Non-energy industrial goods","U2","Euro area","A","Annual","2021","2021",1.5,,
"IGXE00","Non-energy industrial goods","U2","Euro area","A","Annual","2022","2022",4.6,,
"FOODPR","Processed food","U2","Euro area","A","Annual","2019","2019",1.9,,
"FOODPR","Processed food","U2","Euro area","A","Annual","2020","2020",1.8,,
"FOODPR","Processed food","U2","Euro area","A","Annual","2021","2021",1.5,,
"FOODPR","Processed food","U2","Euro area","A","Annual","2022","2022",8.6,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2019-03","2019M3",0.2,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2019-04","2019M4",-1,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2019-05","2019M5",-0.1,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2019-06","2019M6",0.6,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2020-04","2020M4",5.7,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2020-05","2020M5",6.4,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2020-06","2020M6",6.3,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2020-07","2020M7",7.2,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2021-04","2021M4",-2.7,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2021-05","2021M5",-3.3,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2021-06","2021M6",-3.5,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2021-07","2021M7",-3.6,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2021-08","2021M8",-2.3,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2022-05","2022M5",5.5,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2022-06","2022M6",7.1,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2022-07","2022M7",8,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2022-08","2022M8",8.7,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2019-01","2019M1",0.4,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2019-02","2019M2",-0.2,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2019-11","2019M11",-1.1,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2019-12","2019M12",0.3,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2020-01","2020M1",1.1,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2020-02","2020M2",1.6,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2020-03","2020M3",2.8,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2020-12","2020M12",2,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2021-01","2021M1",-1.4,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2021-02","2021M2",-0.9,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2021-03","2021M3",-1.9,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2022-01","2022M1",1.8,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2022-02","2022M2",3.2,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2022-03","2022M3",4.6,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2022-04","2022M4",4.1,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2023-01","2023M1",16.1,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2023-02","2023M2",16.6,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2023-03","2023M3",17.5,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2023-04","2023M4",15,"E","Estimated"
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2019-07","2019M7",0.3,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2019-08","2019M8",0.7,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2019-09","2019M9",-2.5,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2019-10","2019M10",-2.5,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2020-08","2020M8",5.4,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2020-09","2020M9",7.2,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2020-10","2020M10",6.7,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2020-11","2020M11",4.3,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2021-09","2021M9",-2.3,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2021-10","2021M10",-3,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2021-11","2021M11",-1.9,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2021-12","2021M12",0.6,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2022-09","2022M9",8.9,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2022-10","2022M10",11.8,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2022-11","2022M11",14.4,,
"FOODUN","Unprocessed food","BE","Belgium","M","Monthly","2022-12","2022M12",13.5,,
"FOODUN","Unprocessed food","BE","Belgium","A","Annual","2019","2019",-0.4,,
"FOODUN","Unprocessed food","BE","Belgium","A","Annual","2020","2020",4.7,,
"FOODUN","Unprocessed food","BE","Belgium","A","Annual","2021","2021",-2.2,,
"FOODUN","Unprocessed food","BE","Belgium","A","Annual","2022","2022",7.6,,
"XEF000","Underlying trend in inflation","BE","Belgium","A","Annual","2019","2019",1.5,,
"XEF000","Underlying trend in inflation","BE","Belgium","A","Annual","2020","2020",1.4,,
"XEF000","Underlying trend in inflation","BE","Belgium","A","Annual","2021","2021",1.3,,
"XEF000","Underlying trend in inflation","BE","Belgium","A","Annual","2022","2022",4,,
"000000","Total HICP","U2","Euro area","A","Annual","2019","2019",1.2,,
"000000","Total HICP","U2","Euro area","A","Annual","2020","2020",0.3,,
"000000","Total HICP","U2","Euro area","A","Annual","2021","2021",2.6,,
"000000","Total HICP","U2","Euro area","A","Annual","2022","2022",8.4,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2019-03","2019M3",2.33,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2019-04","2019M4",2.08,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2019-05","2019M5",1.89,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2019-06","2019M6",1.73,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2020-04","2020M4",0.57,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2020-05","2020M5",0.48,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2020-06","2020M6",0.6,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2020-07","2020M7",0.73,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2021-04","2021M4",1.23,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2021-05","2021M5",1.46,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2021-06","2021M6",1.63,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2021-07","2021M7",2.27,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2021-08","2021M8",2.73,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2022-05","2022M5",8.97,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2022-06","2022M6",9.65,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2022-07","2022M7",9.62,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2022-08","2022M8",9.94,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2019-01","2019M1",1.99,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2019-02","2019M2",2.17,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2019-11","2019M11",0.39,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2019-12","2019M12",0.76,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2020-01","2020M1",1.41,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2020-02","2020M2",1.1,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2020-03","2020M3",0.62,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2020-12","2020M12",0.41,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2021-01","2021M1",0.26,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2021-02","2021M2",0.46,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2021-03","2021M3",0.89,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2022-01","2022M1",7.59,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2022-02","2022M2",8.04,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2022-03","2022M3",8.31,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2022-04","2022M4",8.31,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2023-01","2023M1",8.05,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2023-02","2023M2",6.62,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2023-03","2023M3",6.67,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2023-04","2023M4",5.6,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2019-07","2019M7",1.42,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2019-08","2019M8",1.26,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2019-09","2019M9",0.8,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2019-10","2019M10",0.48,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2020-08","2020M8",0.82,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2020-09","2020M9",0.9,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2020-10","2020M10",0.74,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2020-11","2020M11",0.51,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2021-09","2021M9",2.86,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2021-10","2021M10",4.16,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2021-11","2021M11",5.64,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2021-12","2021M12",5.71,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2022-09","2022M9",11.27,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2022-10","2022M10",12.27,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2022-11","2022M11",10.63,,
"99_9_9_9_99","Inflation (general index NICP)","BE","Belgium","M","Monthly","2022-12","2022M12",10.35,,
"SERV00","Services","BE","Belgium","A","Annual","2019","2019",1.8,,
"SERV00","Services","BE","Belgium","A","Annual","2020","2020",1.8,,
"SERV00","Services","BE","Belgium","A","Annual","2021","2021",1.6,,
"SERV00","Services","BE","Belgium","A","Annual","2022","2022",3.8,,
"FOODUN","Unprocessed food","U2","Euro area","A","Annual","2019","2019",1.4,,
"FOODUN","Unprocessed food","U2","Euro area","A","Annual","2020","2020",4,,
"FOODUN","Unprocessed food","U2","Euro area","A","Annual","2021","2021",1.6,,
"FOODUN","Unprocessed food","U2","Euro area","A","Annual","2022","2022",10.4,,
"000000","Total HICP","BE","Belgium","M","Monthly","2019-03","2019M3",2.2,,
"000000","Total HICP","BE","Belgium","M","Monthly","2019-04","2019M4",2,,
"000000","Total HICP","BE","Belgium","M","Monthly","2019-05","2019M5",1.7,,
"000000","Total HICP","BE","Belgium","M","Monthly","2019-06","2019M6",1.3,,
"000000","Total HICP","BE","Belgium","M","Monthly","2020-04","2020M4",0,,
"000000","Total HICP","BE","Belgium","M","Monthly","2020-05","2020M5",-0.2,,
"000000","Total HICP","BE","Belgium","M","Monthly","2020-06","2020M6",0.2,,
"000000","Total HICP","BE","Belgium","M","Monthly","2020-07","2020M7",1.7,,
"000000","Total HICP","BE","Belgium","M","Monthly","2021-04","2021M4",2.1,,
"000000","Total HICP","BE","Belgium","M","Monthly","2021-05","2021M5",2.5,,
"000000","Total HICP","BE","Belgium","M","Monthly","2021-06","2021M6",2.6,,
"000000","Total HICP","BE","Belgium","M","Monthly","2021-07","2021M7",1.4,,
"000000","Total HICP","BE","Belgium","M","Monthly","2021-08","2021M8",4.7,,
"000000","Total HICP","BE","Belgium","M","Monthly","2022-05","2022M5",9.9,,
"000000","Total HICP","BE","Belgium","M","Monthly","2022-06","2022M6",10.5,,
"000000","Total HICP","BE","Belgium","M","Monthly","2022-07","2022M7",10.4,,
"000000","Total HICP","BE","Belgium","M","Monthly","2022-08","2022M8",10.5,,
"000000","Total HICP","BE","Belgium","M","Monthly","2019-01","2019M1",1.8,,
"000000","Total HICP","BE","Belgium","M","Monthly","2019-02","2019M2",2,,
"000000","Total HICP","BE","Belgium","M","Monthly","2019-11","2019M11",0.4,,
"000000","Total HICP","BE","Belgium","M","Monthly","2019-12","2019M12",0.9,,
"000000","Total HICP","BE","Belgium","M","Monthly","2020-01","2020M1",1.4,,
"000000","Total HICP","BE","Belgium","M","Monthly","2020-02","2020M2",1,,
"000000","Total HICP","BE","Belgium","M","Monthly","2020-03","2020M3",0.4,,
"000000","Total HICP","BE","Belgium","M","Monthly","2020-12","2020M12",0.4,,
"000000","Total HICP","BE","Belgium","M","Monthly","2021-01","2021M1",0.6,,
"000000","Total HICP","BE","Belgium","M","Monthly","2021-02","2021M2",0.3,,
"000000","Total HICP","BE","Belgium","M","Monthly","2021-03","2021M3",1.6,,
"000000","Total HICP","BE","Belgium","M","Monthly","2022-01","2022M1",8.5,,
"000000","Total HICP","BE","Belgium","M","Monthly","2022-02","2022M2",9.5,,
"000000","Total HICP","BE","Belgium","M","Monthly","2022-03","2022M3",9.3,,
"000000","Total HICP","BE","Belgium","M","Monthly","2022-04","2022M4",9.3,,
"000000","Total HICP","BE","Belgium","M","Monthly","2023-01","2023M1",7.4,,
"000000","Total HICP","BE","Belgium","M","Monthly","2023-02","2023M2",5.4,,
"000000","Total HICP","BE","Belgium","M","Monthly","2023-03","2023M3",4.9,,
"000000","Total HICP","BE","Belgium","M","Monthly","2023-04","2023M4",3.3,"E","Estimated"
"000000","Total HICP","BE","Belgium","M","Monthly","2019-07","2019M7",1.2,,
"000000","Total HICP","BE","Belgium","M","Monthly","2019-08","2019M8",0.9,,
"000000","Total HICP","BE","Belgium","M","Monthly","2019-09","2019M9",0.6,,
"000000","Total HICP","BE","Belgium","M","Monthly","2019-10","2019M10",0.2,,
"000000","Total HICP","BE","Belgium","M","Monthly","2020-08","2020M8",-0.9,,
"000000","Total HICP","BE","Belgium","M","Monthly","2020-09","2020M9",0.5,,
"000000","Total HICP","BE","Belgium","M","Monthly","2020-10","2020M10",0.4,,
"000000","Total HICP","BE","Belgium","M","Monthly","2020-11","2020M11",0.2,,
"000000","Total HICP","BE","Belgium","M","Monthly","2021-09","2021M9",3.8,,
"000000","Total HICP","BE","Belgium","M","Monthly","2021-10","2021M10",5.4,,
"000000","Total HICP","BE","Belgium","M","Monthly","2021-11","2021M11",7.1,,
"000000","Total HICP","BE","Belgium","M","Monthly","2021-12","2021M12",6.6,,
"000000","Total HICP","BE","Belgium","M","Monthly","2022-09","2022M9",12.1,,
"000000","Total HICP","BE","Belgium","M","Monthly","2022-10","2022M10",13.1,,
"000000","Total HICP","BE","Belgium","M","Monthly","2022-11","2022M11",10.5,,
"000000","Total HICP","BE","Belgium","M","Monthly","2022-12","2022M12",10.2,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2019-03","2019M3",5.3,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2019-04","2019M4",5.3,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2019-05","2019M5",3.8,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2019-06","2019M6",1.7,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2020-04","2020M4",-9.7,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2020-05","2020M5",-11.9,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2020-06","2020M6",-9.3,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2020-07","2020M7",-8.4,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2021-04","2021M4",10.4,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2021-05","2021M5",13.1,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2021-06","2021M6",12.6,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2021-07","2021M7",14.3,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2021-08","2021M8",15.4,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2022-05","2022M5",39.1,,
"NRGY00","Energy","U2","Euro area","M","Monthly","2022-06","2022M6",42,,
